id x y theta
2 556.03 92.24 -2.672
3 231.42 400.85 1.548
4 736.01 222.96 -1.519
5 748.93 264.00 -1.885
6 525.13 416.60 0.896
7 763.45 397.75 1.866
8 37.68 424.08 -2.201
9 51.44 450.00 -1.662
10 519.84 548.80 3.122
11 40.57 473.82 -1.733
12 165.96 474.92 -1.967
13 165.53 637.26 1.332
14 580.42 652.19 -0.585
15 201.03 682.54 0.422
23
1 692.77 156.51 0.780
2 547.84 87.20 -2.584
3 233.15 408.80 1.497
4 735.27 220.94 -1.663
5 747.15 258.59 -1.811
6 529.00 421.13 0.911
7 758.99 409.22 1.910
8 37.49 423.52 -2.205
9 52.07 449.56 -1.655
10 512.52 548.43 -3.081
11 40.64 471.23 -1.753
12 162.79 469.71 -1.941
13 165.51 637.23 1.338
14 582.47 650.30 -0.695
15 209.44 685.62 0.345
24
1 695.96 160.99 0.786
2 539.65 81.52 -2.586
3 234.61 417.66 1.409
4 733.45 217.17 -1.756
5 746.21 252.99 -1.864
6 531.96 425.67 0.907
7 754.35 420.76 1.910
8 37.69 423.44 -2.174
9 54.02 447.23 -1.548
10 506.48 547.81 -3.093
11 41.28 464.10 -1.696
12 161.93 465.61 -1.949
13 165.34 637.50 1.358
14 584.63 646.57 -0.771
15 217.69 688.74 0.313
25
1 699.45 166.83 0.836
2 528.55 75.74 -2.629
3 236.18 427.29 1.376
4 730.60 212.03 -1.791
5 743.28 247.16 -1.937
6 535.21 430.57 0.972
7 749.95 433.27 1.903
8 37.60 422.89 -2.149
9 55.49 442.68 -1.472
10 501.83 546.85 -3.141
11 41.02 460.83 -1.741
12 160.11 459.35 -1.936
13 165.31 637.25 1.349
14 586.54 642.59 -0.839
15 225.07 690.95 0.375
26
1 702.99 172.44 0.908
2 519.78 71.36 -2.562
3 239.66 436.11 1.273
4 729.27 209.50 -1.840
5 739.19 241.31 -1.905
6 538.65 434.40 0.976
7 745.62 444.22 1.897
8 37.48 421.74 -2.065
9 56.28 436.52 -1.535
10 496.70 545.50 -3.037
11 39.02 459.39 -1.728
12 158.31 454.37 -1.782
13 165.37 637.30 1.345
14 589.63 637.91 -0.943
15 231.81 692.63 0.359
27
1 706.22 178.96 0.879
2 508.98 66.08 -2.613
3 242.37 444.39 1.242
4 729.36 206.18 -1.783
5 737.10 236.22 -1.925
6 542.33 438.81 0.949
7 742.16 455.65 1.886
8 37.09 420.37 -2.019
