X1	Y1	ProbId1	X2	Y2	ProbId2	X3	Y3	ProbId3	X4	Y4	ProbId4	X5	Y5	ProbId5	X6	Y6	ProbId6	
NaN	NaN	NaN	735.6	707.18	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	735.85	709.51	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	736.11	716.37	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	736.09	719.73	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	735.86	722.18	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	736.9	725.99	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	737.58	730.16	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	733.33	733.67	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	727.34	741.42	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	718.32	756.52	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
391.84	676.08	NaN	703.67	773.44	NaN	452.91	688.99	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
394.19	679	NaN	689.51	787.04	NaN	455.85	691.4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
394.7	680.01	NaN	667.59	805.97	NaN	467.02	691.85	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
395.36	681.11	NaN	655.95	814.84	NaN	490.84	694.72	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
397.06	681.06	NaN	653.65	814.03	NaN	504.47	705.21	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
399.33	683.01	NaN	655.3	809.37	NaN	513.32	724	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
399.92	682.55	NaN	645.66	810.58	NaN	522.81	736.78	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
401.91	682.97	NaN	639.26	815.7	NaN	532.93	749.08	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
404	683.03	NaN	626	826.36	NaN	539.26	752.09	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
409.12	683.61	NaN	612.26	835.99	NaN	542.73	753.23	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
417.52	685.51	NaN	590.57	847.43	NaN	546.48	751.96	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
420.27	685.95	NaN	562.16	853.17	NaN	548.58	750.16	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
422.84	687.45	NaN	534.41	864.04	NaN	553.03	746.9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
426.95	688.27	NaN	525.91	865.15	NaN	556.5	742.4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
429	688.62	NaN	517.86	875.45	NaN	557.67	740	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
433.08	690.35	NaN	512.15	877.71	NaN	559.21	740	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
437.9	692.44	NaN	512.38	875.23	NaN	553.19	741.93	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
441.44	696.39	NaN	509.93	874.52	NaN	549.1	749.03	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
444.55	700.33	NaN	510.31	869.97	NaN	543.88	753.67	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
449.11	704.11	NaN	506.73	866.53	NaN	528.61	764.3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
459.58	713.64	NaN	494.56	864.56	NaN	522.79	783.26	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
463.6	715.98	NaN	473.96	865.87	NaN	520.55	793.91	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
466.96	717.95	NaN	455.65	860.83	NaN	521.99	794.17	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
469.31	719.71	NaN	441.52	854.44	NaN	523.6	797.56	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
472.82	720.57	NaN	411.43	845.37	NaN	524.78	802	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
478.77	723.22	NaN	385.59	824.67	NaN	522.52	807.57	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
484.2	725.81	NaN	378.06	811.18	NaN	516.13	811.13	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
491.54	728.12	NaN	367.42	803.83	NaN	507.1	812.27	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
495.76	727.22	NaN	362.09	801.58	NaN	491.97	816.81	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
504.43	724.73	NaN	355.22	802.32	NaN	466.38	818.54	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
513.2	726.17	NaN	345.78	800.43	NaN	444.5	818.06	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
524.63	725.58	NaN	342.48	798.48	NaN	434.02	819.84	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
537.83	729.3	NaN	345.52	792.84	NaN	434.2	822.13	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
558.88	738.85	NaN	352.35	784.82	NaN	435.64	818.19	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
571.49	754.46	NaN	363.97	777.24	NaN	437.94	816.38	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
573.79	761.52	NaN	379.13	762.3	NaN	440.16	811.93	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
574.07	773.93	NaN	408.79	745.02	NaN	440.04	812.51	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
570.28	792.33	NaN	429.61	733.85	NaN	439.38	809.05	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
567.54	809.36	NaN	443.57	728.54	NaN	440.97	805.61	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
561.42	820.51	NaN	455.18	724.99	NaN	442.59	804.15	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
559.08	828.71	NaN	477.17	727.05	NaN	445.23	805.71	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
552.54	842.02	NaN	488.32	723.07	NaN	444.89	804.19	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
546.57	845.28	NaN	495.62	703.97	NaN	444.99	803.3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
545.21	848.01	NaN	494.85	681.53	NaN	445.09	802.68	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
544.56	850.6	NaN	489.36	646.54	NaN	446.29	803.44	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
543.74	850.02	NaN	478.57	596.15	NaN	446.11	802.7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
540.69	850.4	NaN	457.51	556.75	NaN	447.55	803.87	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
537.63	852.35	NaN	425.98	505	NaN	447.42	802.76	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
533.87	852.97	NaN	390.72	486.88	NaN	447.28	802.08	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
532.21	854.37	NaN	373.47	485.69	NaN	446.8	801.11	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
531.96	853.06	NaN	344.56	484.58	NaN	444.47	799.59	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
531.46	852.93	NaN	333.43	476.4	NaN	442.82	802.46	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
529.66	855.23	NaN	329.4	473.01	NaN	443	805.28	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
527.49	856.44	NaN	320.75	443.25	NaN	442.94	807.04	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
528.96	859.31	NaN	304.32	408.82	NaN	443.64	807.83	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
525.46	856.45	NaN	291.37	359.23	NaN	443.17	807.69	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
524.97	854.67	NaN	276.86	307.49	NaN	442.65	807.8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
524.48	854.41	NaN	270.88	293.19	NaN	443.01	807.76	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
527.81	858.03	NaN	273.11	290.07	NaN	444.03	808.14	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
536.4	857.57	NaN	281.28	288.3	NaN	444.94	809.14	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
543.58	853.89	NaN	293.77	273.59	NaN	444.14	809.27	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
564.29	845.52	NaN	308.65	256.7	NaN	443.63	808.82	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
586.43	833.98	NaN	335.37	239.6	NaN	443.08	808.36	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
609.36	826.33	NaN	344	237.05	NaN	442.08	806.41	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
