X1	Y1	ProbId1	X2	Y2	ProbId2	X3	Y3	ProbId3	X4	Y4	ProbId4	X5	Y5	ProbId5	X6	Y6	ProbId6	X7	Y7	ProbId7	X8	Y8	ProbId8	X9	Y9	ProbId9	X10	Y10	ProbId10	
554	639.3	NaN	578.94	195.01	NaN	642.01	294.01	NaN	631.02	165.79	NaN	861.4	360.67	NaN	380.11	397.3	NaN	448.45	118.13	NaN	680.81	156.39	NaN	437.64	175.13	NaN	617.28	592.69	NaN
554.09	638.72	NaN	582.41	196.17	NaN	639.1	291.65	NaN	630.96	166.45	NaN	860.89	360.28	NaN	380.29	396.35	NaN	448.61	118.19	NaN	678.11	153.21	NaN	436.92	175.31	NaN	617.76	592.16	NaN
553.95	639.21	NaN	584.36	196.85	NaN	636.27	286.42	NaN	629.71	165.9	NaN	860.22	357.23	NaN	381.32	393.73	NaN	448.77	118.16	NaN	673.57	149.69	NaN	436.45	173.94	NaN	617.11	592.59	NaN
553.82	639.22	NaN	585.79	199.04	NaN	633.16	282.11	NaN	629.86	166.12	NaN	859.23	356.99	NaN	383.55	391.39	NaN	448.89	118.18	NaN	666.71	144.76	NaN	435.7	173.91	NaN	616.26	593.25	NaN
554.05	638.65	NaN	586.93	202.16	NaN	629.75	280.99	NaN	629.68	165.48	NaN	859.64	354.02	NaN	387.46	389.25	NaN	449.12	117.92	NaN	664.27	145.95	NaN	435.16	173.6	NaN	616.61	592.5	NaN
554.09	638.62	NaN	587.84	203.59	NaN	627.64	275.97	NaN	629.8	165.66	NaN	858.25	351.13	NaN	388.79	388.82	NaN	448.92	118.28	NaN	657.82	141.92	NaN	434.28	172.78	NaN	617.52	591.53	NaN
554.2	639.38	NaN	590.23	205.94	NaN	622.68	268.02	NaN	628.98	164.82	NaN	857.12	348.02	NaN	390.4	385.82	NaN	448.92	118.26	NaN	654.38	139.82	NaN	432.56	172.13	NaN	616.6	591.91	NaN
554.17	640.81	NaN	590.09	206.43	NaN	620.79	268.86	NaN	627.11	165.38	NaN	855.16	345.9	NaN	393.42	384.63	NaN	448.78	118.42	NaN	650.57	136.76	NaN	430.9	171.86	NaN	617.36	591.14	NaN
553.85	640.91	NaN	590.06	207.55	NaN	619.77	268.59	NaN	626.98	165.34	NaN	854.43	347.16	NaN	395.2	381.23	NaN	448.43	118.56	NaN	647.46	133.69	NaN	430.25	172.33	NaN	617.64	590.84	NaN
553.93	640.41	NaN	589.48	208.07	NaN	619.08	267.77	NaN	627.17	165.61	NaN	854.75	344.44	NaN	396.38	375.98	NaN	448.19	118.58	NaN	643.51	131.52	NaN	429.98	172.41	NaN	617.84	590.48	NaN
553.69	641.35	NaN	590.07	208.47	NaN	617.82	268.11	NaN	NaN	NaN	NaN	854.57	341.98	NaN	396.52	374.65	NaN	448.28	118.64	NaN	NaN	NaN	NaN	429.58	171.97	NaN	617.84	590.23	NaN
553.86	640.97	NaN	589.6	208.54	NaN	617.29	269	NaN	NaN	NaN	NaN	854.46	339.99	NaN	396.97	370.03	NaN	448.88	118.54	NaN	NaN	NaN	NaN	429.48	171.77	NaN	617.45	590.46	NaN
554	639.94	NaN	590.09	208.3	NaN	614.11	267.37	NaN	627.83	167.33	NaN	855.09	335.94	NaN	397.21	366.65	NaN	448.87	118.63	NaN	620.86	124.46	NaN	429.07	171.35	NaN	616.74	590.88	NaN
553.95	639.39	NaN	593.17	208.83	NaN	609.5	265.72	NaN	627.96	167.76	NaN	854.54	331.82	NaN	396.93	363.48	NaN	448.86	118.2	NaN	614.34	123.39	NaN	427.15	171.01	NaN	616.63	590.87	NaN
554.46	638.87	NaN	595.22	208.9	NaN	606.25	264.9	NaN	628.51	167.89	NaN	853.73	331.26	NaN	396.32	361.54	NaN	449.17	118.14	NaN	610.29	120.76	NaN	425.12	171.75	NaN	616.64	590.35	NaN
555.16	639.79	NaN	596.26	208.57	NaN	602.93	263.09	NaN	628.21	167.64	NaN	852.98	327.89	NaN	393.86	360.32	NaN	448.74	118.34	NaN	602.06	118.56	NaN	425.01	172.07	NaN	616.56	590.08	NaN
555.63	639.91	NaN	599.04	207.78	NaN	599.85	260.77	NaN	627.88	167.92	NaN	851.14	327.99	NaN	390.34	355.68	NaN	449.07	118.31	NaN	593.03	116.92	NaN	423.22	169.34	NaN	616.28	589.54	NaN
555.94	639.93	NaN	602.23	209.06	NaN	598.19	260.07	NaN	627.91	167.8	NaN	849.22	326.79	NaN	388.23	352.53	NaN	449.21	118.53	NaN	586.27	118.37	NaN	421.92	168.8	NaN	615.97	589.1	NaN
556.31	639.77	NaN	604.69	209.18	NaN	595.88	259.42	NaN	628.33	168.57	NaN	846.66	326.07	NaN	385.54	350.07	NaN	449.9	118.12	NaN	573.46	118.55	NaN	419.11	167.8	NaN	616.02	587.9	NaN
556.08	640.23	NaN	606.12	211.46	NaN	591.37	257.17	NaN	628.09	168.32	NaN	843.62	324.72	NaN	383.67	351.46	NaN	449.53	118.11	NaN	567.34	116.53	NaN	418.02	167.41	NaN	616.06	586.52	NaN
556.74	638.65	NaN	610.11	212.43	NaN	588.82	254.77	NaN	627.64	167.84	NaN	840.89	325.99	NaN	381.64	350.34	NaN	450.56	117.99	NaN	561.16	117.73	NaN	416.55	166.77	NaN	615.24	586.68	NaN
556.56	640.11	NaN	614.99	212.6	NaN	587.28	255.31	NaN	628.31	168.1	NaN	838.66	325.25	NaN	380.4	350.11	NaN	450.18	117.99	NaN	554.64	118.19	NaN	415.17	164.79	NaN	615.72	586.5	NaN
557.12	639.45	NaN	618.5	213.04	NaN	581.51	251.43	NaN	627.81	168.19	NaN	837.03	327.33	NaN	378.13	347.93	NaN	450.03	118	NaN	552.22	119.79	NaN	413.01	162.47	NaN	615.59	586.06	NaN
557.13	639.93	NaN	620.73	213.24	NaN	575.66	247.98	NaN	628.09	168.73	NaN	835.24	329.52	NaN	378.33	347.71	NaN	448.95	118.16	NaN	550.51	120.27	NaN	410.78	159.04	NaN	614.71	586.4	NaN
556.96	640.32	NaN	622.28	212.46	NaN	570.18	243.51	NaN	627.54	167.84	NaN	833.22	329.84	NaN	378.46	346.97	NaN	449.44	118.02	NaN	547.1	120.93	NaN	406.97	151.3	NaN	614.28	586.16	NaN
557.14	640.22	NaN	624.06	211.35	NaN	565.05	239.07	NaN	628.58	168.73	NaN	830.89	331.11	NaN	378.92	346.69	NaN	449.76	117.99	NaN	539.01	122.84	NaN	404.01	147.19	NaN	614.57	585.75	NaN
556.92	640.67	NaN	626.77	212.13	NaN	556.16	232.53	NaN	629.25	170.15	NaN	829.68	333.47	NaN	377.42	345.09	NaN	450.35	117.91	NaN	533.41	125.41	NaN	400.76	143.18	NaN	614.26	584.85	NaN
556.83	640.11	NaN	627.42	211.69	NaN	551.98	229.31	NaN	628.76	169.67	NaN	825.72	332.34	NaN	375.45	342.96	NaN	450.71	117.9	NaN	526.31	129.21	NaN	399.51	143.12	NaN	614.9	582.82	NaN
556.33	640.73	NaN	629.1	212.35	NaN	548.74	226.62	NaN	628.73	168.9	NaN	819.16	327.13	NaN	373.18	341.15	NaN	449.85	118.36	NaN	517.61	133.31	NaN	397.73	140.95	NaN	614.06	583.6	NaN
556.14	639.78	NaN	630.19	212.88	NaN	546.21	223.28	NaN	628.73	167.8	NaN	816.57	323.22	NaN	373.8	340.58	NaN	450.19	118.27	NaN	512.17	136.77	NaN	398.14	140.44	NaN	613.71	584.01	NaN
555.06	640.13	NaN	632.16	213.19	NaN	543.58	220.73	NaN	628.42	167.8	NaN	809.85	318.34	NaN	373.93	337.32	NaN	450.84	118.5	NaN	503	141.92	NaN	397.77	142.13	NaN	614.72	582.12	NaN
554.44	640.61	NaN	634.95	212.96	NaN	538.59	216.33	NaN	627.57	167.24	NaN	803.91	313.24	NaN	372.95	333.24	NaN	452.67	118.29	NaN	501.87	147.41	NaN	396.1	140.33	NaN	614.79	580.79	NaN
554.2	640.45	NaN	636.52	212.24	NaN	535.66	214.95	NaN	627.77	166.17	NaN	795.39	303.32	NaN	373.5	330.88	NaN	453.04	118.56	NaN	498.42	149.25	NaN	395.72	140.94	NaN	615.02	579.37	NaN
553.69	640.03	NaN	638.87	212.12	NaN	529.2	213.23	NaN	625.52	165.13	NaN	786.2	294.62	NaN	374.87	326.06	NaN	451.48	118.16	NaN	494.84	152.12	NaN	394.84	141.19	NaN	615.03	579.11	NaN
552.96	639.51	NaN	640.07	211.56	NaN	523.78	213.09	NaN	622.63	165.55	NaN	781.85	286.39	NaN	376.57	323.88	NaN	451.23	118.15	NaN	493.46	153.31	NaN	393.62	141.54	NaN	615.56	577.31	NaN
551.65	640.34	NaN	641.77	211.47	NaN	515.35	208.96	NaN	621.27	166.1	NaN	776.14	277.88	NaN	376.98	319.05	NaN	451.01	118.13	NaN	488.46	156.21	NaN	393.19	140.18	NaN	615.3	577.13	NaN
549.75	640.97	NaN	643.18	212.54	NaN	510.72	208.29	NaN	617.55	166.51	NaN	772.49	273.48	NaN	379.16	315.91	NaN	452.02	118.13	NaN	484.54	160.67	NaN	392.59	140.17	NaN	615.76	575.52	NaN
548.06	641.87	NaN	642.48	214.32	NaN	508.2	209.19	NaN	615.38	166.06	NaN	772.68	268.74	NaN	380.45	313.92	NaN	451.51	118	NaN	481.1	162	NaN	391.74	138.19	NaN	615.51	574.62	NaN
547.12	642	NaN	643.21	216.04	NaN	504.95	208.36	NaN	616.63	166.42	NaN	773.28	261.97	NaN	381.17	310.25	NaN	451.19	118.09	NaN	475.66	167.03	NaN	391.76	137.43	NaN	615.76	573.35	NaN
545.76	640.88	NaN	643.06	218.52	NaN	501.66	207.59	NaN	615.59	167.38	NaN	773.59	258.27	NaN	381.96	309.99	NaN	449.22	117.51	NaN	464.72	169.86	NaN	392.12	137.61	NaN	615.88	571.02	NaN
544.16	639.86	NaN	641.73	221.32	NaN	498.34	205.32	NaN	612.18	168.55	NaN	774.23	258.8	NaN	382.65	309.7	NaN	449.15	117.7	NaN	460.68	171.57	NaN	392.56	135.71	NaN	615.55	569.7	NaN
541.34	638.74	NaN	640.87	222.46	NaN	493.69	205.79	NaN	606.93	170.28	NaN	774.22	257.8	NaN	384.77	306.5	NaN	449.19	117.69	NaN	449.94	177.46	NaN	392.13	134.44	NaN	616.09	567.2	NaN
538.24	633.44	NaN	641.41	225.8	NaN	NaN	NaN	NaN	602.93	172.36	NaN	774.63	256.51	NaN	384.71	305.05	NaN	448.89	117.4	NaN	NaN	NaN	NaN	392.02	134.49	NaN	616.44	564.48	NaN
