X1	Y1	ProbId1	X2	Y2	ProbId2	X3	Y3	ProbId3	X4	Y4	ProbId4	X5	Y5	ProbId5	
131.14	388.01	NaN	294.84	297.16	NaN	430.67	313.5	NaN	166.27	424.49	NaN	183.77	404.84	NaN
130.32	387.35	NaN	294.77	297.4	NaN	430.69	313.05	NaN	166.06	424.26	NaN	183.37	404.91	NaN
129.77	387.13	NaN	294.8	297.49	NaN	430.75	313.09	NaN	165.96	424.12	NaN	183.35	404.82	NaN
129.4	386.9	NaN	294.75	297.53	NaN	430.84	313.01	NaN	165.96	424.06	NaN	183.49	404.97	NaN
129.16	386.7	NaN	294.37	297.89	NaN	430.84	312.92	NaN	165.69	424.12	NaN	183.05	405.09	NaN
129.07	386.24	NaN	294.49	298.05	NaN	430.87	312.92	NaN	165.39	424.03	NaN	183.02	405.09	NaN
129.22	386.05	NaN	294.36	298.28	NaN	430.84	312.56	NaN	165.04	423.81	NaN	183.2	405.12	NaN
128.93	385.47	NaN	294.36	298.27	NaN	430.81	312.53	NaN	164.68	423.64	NaN	183.09	405.06	NaN
128.66	385.4	NaN	294.14	298.34	NaN	430.81	312.53	NaN	NaN	NaN	NaN	NaN	NaN	NaN
128.92	385.44	NaN	294.06	298.49	NaN	430.8	312.48	NaN	NaN	NaN	NaN	NaN	NaN	NaN
128.64	385.1	NaN	293.74	298.57	NaN	430.93	312.13	NaN	NaN	NaN	NaN	NaN	NaN	NaN
128.23	384.82	NaN	294.04	298.72	NaN	431.01	312.24	NaN	NaN	NaN	NaN	NaN	NaN	NaN
128.22	385.06	NaN	294.24	298.98	NaN	431.02	312.18	NaN	NaN	NaN	NaN	NaN	NaN	NaN
127.65	384.26	NaN	294.36	299.04	NaN	431.02	312.18	NaN	NaN	NaN	NaN	NaN	NaN	NaN
127.31	384.18	NaN	294.34	299.14	NaN	431.03	311.79	NaN	NaN	NaN	NaN	NaN	NaN	NaN
126.82	384.02	NaN	294.44	299.13	NaN	430.99	311.81	NaN	NaN	NaN	NaN	NaN	NaN	NaN
125.88	383.73	NaN	294.29	299.12	NaN	431.04	311.62	NaN	NaN	NaN	NaN	NaN	NaN	NaN
125.35	384	NaN	294.25	299.21	NaN	430.87	311.29	NaN	NaN	NaN	NaN	NaN	NaN	NaN
124.88	384.02	NaN	294.21	299.15	NaN	430.76	311.27	NaN	NaN	NaN	NaN	NaN	NaN	NaN
125.26	383.91	NaN	294.29	299.26	NaN	430.77	310.95	NaN	NaN	NaN	NaN	NaN	NaN	NaN
124.89	383.7	NaN	294.22	299.39	NaN	430.81	310.86	NaN	NaN	NaN	NaN	NaN	NaN	NaN
124.53	383.14	NaN	294.04	299.59	NaN	430.76	310.54	NaN	NaN	NaN	NaN	NaN	NaN	NaN
124.1	382.79	NaN	294.01	299.63	NaN	430.71	310.41	NaN	NaN	NaN	NaN	NaN	NaN	NaN
123.9	382.84	NaN	294.15	299.61	NaN	430.83	310.44	NaN	NaN	NaN	NaN	NaN	NaN	NaN
123.31	382.46	NaN	294.23	299.72	NaN	430.92	310.37	NaN	NaN	NaN	NaN	NaN	NaN	NaN
123.06	382.33	NaN	294.35	299.82	NaN	431	310.4	NaN	NaN	NaN	NaN	NaN	NaN	NaN
122.44	381.86	NaN	294.5	299.96	NaN	431.16	310.35	NaN	NaN	NaN	NaN	NaN	NaN	NaN
122.3	381.45	NaN	294.45	299.95	NaN	431.14	310.06	NaN	NaN	NaN	NaN	NaN	NaN	NaN
122.28	381.3	NaN	294.74	299.99	NaN	431.21	309.99	NaN	NaN	NaN	NaN	NaN	NaN	NaN
121.75	380.6	NaN	294.83	300.07	NaN	431.23	309.9	NaN	NaN	NaN	NaN	NaN	NaN	NaN
121.5	380.28	NaN	294.9	300.1	NaN	431.33	310.03	NaN	NaN	NaN	NaN	NaN	NaN	NaN
121.1	379.82	NaN	295.08	300.12	NaN	431.44	309.99	NaN	NaN	NaN	NaN	NaN	NaN	NaN
121.01	379.77	NaN	295.28	300.26	NaN	431.51	310.15	NaN	NaN	NaN	NaN	NaN	NaN	NaN
120.46	379.23	NaN	295.41	300.33	NaN	431.57	309.89	NaN	NaN	NaN	NaN	NaN	NaN	NaN
120.42	379.1	NaN	295.6	300.58	NaN	431.58	309.95	NaN	NaN	NaN	NaN	NaN	NaN	NaN
119.78	378.5	NaN	295.63	300.75	NaN	431.63	309.97	NaN	NaN	NaN	NaN	NaN	NaN	NaN
119.36	378.28	NaN	295.88	300.99	NaN	431.62	309.64	NaN	NaN	NaN	NaN	NaN	NaN	NaN
118.78	377.65	NaN	295.91	301.06	NaN	431.59	309.52	NaN	NaN	NaN	NaN	NaN	NaN	NaN
118.18	377.14	NaN	295.92	301.08	NaN	431.59	309.33	NaN	NaN	NaN	NaN	NaN	NaN	NaN
117.82	376.72	NaN	296.15	301.32	NaN	431.64	309.39	NaN	NaN	NaN	NaN	NaN	NaN	NaN
117.54	376.35	NaN	296.42	301.55	NaN	431.77	309.59	NaN	NaN	NaN	NaN	NaN	NaN	NaN
116.99	375.86	NaN	296.53	301.64	NaN	431.77	309.59	NaN	NaN	NaN	NaN	NaN	NaN	NaN
116.38	375.28	NaN	296.45	301.64	NaN	431.78	309.54	NaN	NaN	NaN	NaN	NaN	NaN	NaN
115.97	374.76	NaN	296.81	301.66	NaN	431.79	309.5	NaN	NaN	NaN	NaN	NaN	NaN	NaN
115.32	374.24	NaN	296.94	301.7	NaN	431.77	309.34	NaN	NaN	NaN	NaN	NaN	NaN	NaN
115.13	374.08	NaN	297.14	301.78	NaN	431.77	309.4	NaN	NaN	NaN	NaN	NaN	NaN	NaN
114.91	373.83	NaN	297.16	301.82	NaN	431.8	309.2	NaN	NaN	NaN	NaN	NaN	NaN	NaN
114.22	373.08	NaN	297.16	301.82	NaN	431.73	309.02	NaN	NaN	NaN	NaN	NaN	NaN	NaN
113.98	372.76	NaN	297.34	301.78	NaN	431.75	308.87	NaN	152.01	415.5	NaN	182.39	405.46	NaN
113.36	371.93	NaN	297.41	301.8	NaN	431.71	308.76	NaN	151.81	415.27	NaN	182.29	405.54	NaN
112.56	371.15	NaN	297.57	301.87	NaN	431.72	308.75	NaN	151.44	415.08	NaN	182.29	405.54	NaN
112.28	370.78	NaN	297.8	301.94	NaN	431.69	308.69	NaN	151.39	414.43	NaN	182.37	405.48	NaN
111.77	370.42	NaN	297.85	301.86	NaN	431.69	308.69	NaN	151.34	413.93	NaN	182.38	405.32	NaN
111.14	369.71	NaN	297.92	301.89	NaN	431.72	308.71	NaN	151.13	413.56	NaN	182.35	405.34	NaN
110.79	369.54	NaN	297.88	302.06	NaN	431.72	308.65	NaN	150.81	413.26	NaN	182.35	405.32	NaN
109.99	368.76	NaN	298.11	302.19	NaN	431.69	308.52	NaN	150.59	413.17	NaN	182.59	405.28	NaN
109.98	368.41	NaN	298.69	302.27	NaN	431.69	308.52	NaN	150.47	412.97	NaN	182.34	405.45	NaN
109.64	367.7	NaN	298.83	302.21	NaN	431.68	308.28	NaN	149.7	412.35	NaN	182.33	405.47	NaN
109.14	367.02	NaN	299.18	302.32	NaN	431.65	308.21	NaN	149.41	411.91	NaN	182.44	405.39	NaN
108.97	366.51	NaN	299.46	302.47	NaN	431.58	307.92	NaN	148.61	411.38	NaN	182.48	405.33	NaN
108.44	365.84	NaN	299.87	302.66	NaN	431.58	307.92	NaN	148.17	411.18	NaN	182.48	405.35	NaN
108.09	365.37	NaN	300.11	302.78	NaN	431.59	307.8	NaN	147.53	410.78	NaN	182.32	405.42	NaN
